YEAR,Deaths,Country Code,Country Name
2006,277,ALB,Albania
2007,384,ALB,Albania
2008,303,ALB,Albania
2009,378,ALB,Albania
2010,353,ALB,Albania
2011,322,ALB,Albania
2012,334,ALB,Albania
2013,295,ALB,Albania
2014,264,ALB,Albania
2015,270,ALB,Albania
2016,269,ALB,Albania
2017,222,ALB,Albania
2018,213,ALB,Albania
2019,227,ALB,Albania
2020,181,ALB,Albania
2021,197,ALB,Albania
2008,5759,ARG,Argentina
2009,5219,ARG,Argentina
2010,5094,ARG,Argentina
2011,5040,ARG,Argentina
2012,5074,ARG,Argentina
2013,5209,ARG,Argentina
2014,5279,ARG,Argentina
2016,5582,ARG,Argentina
2017,5420,ARG,Argentina
2006,332,ARM,Armenia
2007,371,ARM,Armenia
2008,407,ARM,Armenia
2009,325,ARM,Armenia
2010,294,ARM,Armenia
2011,327,ARM,Armenia
2012,311,ARM,Armenia
2013,316,ARM,Armenia
2014,297,ARM,Armenia
2015,346,ARM,Armenia
2016,267,ARM,Armenia
2017,279,ARM,Armenia
2006,1452,AUS,Australia
2007,1453,AUS,Australia
2008,1315,AUS,Australia
2009,1347,AUS,Australia
2010,1233,AUS,Australia
2011,1151,AUS,Australia
2012,1276,AUS,Australia
2013,1263,AUS,Australia
2014,1151,AUS,Australia
2015,1204,AUS,Australia
2016,1292,AUS,Australia
2017,1223,AUS,Australia
2018,1134,AUS,Australia
2019,1186,AUS,Australia
2020,1103,AUS,Australia
2006,730,AUT,Austria
2007,691,AUT,Austria
2008,679,AUT,Austria
2009,633,AUT,Austria
2010,552,AUT,Austria
2011,523,AUT,Austria
2012,531,AUT,Austria
2013,455,AUT,Austria
2014,430,AUT,Austria
2015,479,AUT,Austria
2016,432,AUT,Austria
2017,414,AUT,Austria
2018,409,AUT,Austria
2019,416,AUT,Austria
2020,344,AUT,Austria
2021,362,AUT,Austria
2006,1027,AZE,Azerbaijan
2007,1107,AZE,Azerbaijan
2008,1052,AZE,Azerbaijan
2009,930,AZE,Azerbaijan
2010,925,AZE,Azerbaijan
2011,1016,AZE,Azerbaijan
2012,1168,AZE,Azerbaijan
2013,1164,AZE,Azerbaijan
2014,1124,AZE,Azerbaijan
2015,894,AZE,Azerbaijan
2016,759,AZE,Azerbaijan
2017,750,AZE,Azerbaijan
2018,722,AZE,Azerbaijan
2019,821,AZE,Azerbaijan
2020,696,AZE,Azerbaijan
2021,706,AZE,Azerbaijan
2006,1726,BLR,Belarus
2007,1518,BLR,Belarus
2008,1564,BLR,Belarus
2009,1322,BLR,Belarus
2010,1190,BLR,Belarus
2011,1200,BLR,Belarus
2012,1039,BLR,Belarus
2013,894,BLR,Belarus
2014,757,BLR,Belarus
2015,664,BLR,Belarus
2016,588,BLR,Belarus
2017,589,BLR,Belarus
2018,549,BLR,Belarus
2019,505,BLR,Belarus
2020,575,BLR,Belarus
2006,1106,BEL,Belgium
2007,1094,BEL,Belgium
2008,980,BEL,Belgium
2009,956,BEL,Belgium
2010,850,BEL,Belgium
2011,884,BEL,Belgium
2012,827,BEL,Belgium
2013,764,BEL,Belgium
2014,745,BEL,Belgium
2015,762,BEL,Belgium
2016,670,BEL,Belgium
2017,609,BEL,Belgium
2018,604,BEL,Belgium
2019,644,BEL,Belgium
2020,499,BEL,Belgium
2021,517,BEL,Belgium
2006,403,BIH,Bosnia and Herzegovina
2007,430,BIH,Bosnia and Herzegovina
2008,434,BIH,Bosnia and Herzegovina
2009,382,BIH,Bosnia and Herzegovina
2010,362,BIH,Bosnia and Herzegovina
2011,356,BIH,Bosnia and Herzegovina
2012,303,BIH,Bosnia and Herzegovina
2013,334,BIH,Bosnia and Herzegovina
2014,297,BIH,Bosnia and Herzegovina
2015,341,BIH,Bosnia and Herzegovina
2016,321,BIH,Bosnia and Herzegovina
2017,298,BIH,Bosnia and Herzegovina
2018,277,BIH,Bosnia and Herzegovina
2019,261,BIH,Bosnia and Herzegovina
2020,244,BIH,Bosnia and Herzegovina
2006,1043,BGR,Bulgaria
2007,1006,BGR,Bulgaria
2008,1061,BGR,Bulgaria
2009,901,BGR,Bulgaria
2010,776,BGR,Bulgaria
2011,657,BGR,Bulgaria
2012,601,BGR,Bulgaria
2013,601,BGR,Bulgaria
2014,660,BGR,Bulgaria
2015,708,BGR,Bulgaria
2016,708,BGR,Bulgaria
2017,682,BGR,Bulgaria
2018,611,BGR,Bulgaria
2019,628,BGR,Bulgaria
2020,463,BGR,Bulgaria
2021,561,BGR,Bulgaria
2006,2871,CAN,Canada
2007,2753,CAN,Canada
2008,2431,CAN,Canada
2009,2216,CAN,Canada
2010,2238,CAN,Canada
2011,2023,CAN,Canada
2012,2075,CAN,Canada
2013,1951,CAN,Canada
2014,1841,CAN,Canada
2015,1887,CAN,Canada
2016,1900,CAN,Canada
2017,1861,CAN,Canada
2018,1939,CAN,Canada
2019,1762,CAN,Canada
2020,1745,CAN,Canada
2021,1768,CAN,Canada
2006,2146.3,CHL,Chile
2007,2138.5,CHL,Chile
2008,2316.6,CHL,Chile
2009,1959.1,CHL,Chile
2010,2069.6,CHL,Chile
2011,2043.6,CHL,Chile
2012,1978.6,CHL,Chile
2013,2103.4,CHL,Chile
2014,2116.4,CHL,Chile
2015,2135.9,CHL,Chile
2016,2177.5,CHL,Chile
2017,1925.3,CHL,Chile
2018,1955.2,CHL,Chile
2019,1972.8,CHL,Chile
2020,1794,CHL,Chile
2006,89455,CHN,China
2007,81649,CHN,China
2008,73484,CHN,China
2009,67759,CHN,China
2010,65225,CHN,China
2011,62387,CHN,China
2012,59997,CHN,China
2013,58539,CHN,China
2014,58523,CHN,China
2015,58022,CHN,China
2016,63093,CHN,China
2017,63772,CHN,China
2018,63194,CHN,China
2019,62763,CHN,China
2006,614,HRV,Croatia
2007,619,HRV,Croatia
2008,664,HRV,Croatia
2009,548,HRV,Croatia
2010,426,HRV,Croatia
2011,418,HRV,Croatia
2012,393,HRV,Croatia
2013,368,HRV,Croatia
2014,308,HRV,Croatia
2015,348,HRV,Croatia
2016,307,HRV,Croatia
2017,331,HRV,Croatia
2018,317,HRV,Croatia
2019,297,HRV,Croatia
2020,237,HRV,Croatia
2021,292,HRV,Croatia
2006,1063,CZE,Czech Republic
2007,1222,CZE,Czech Republic
2008,1076,CZE,Czech Republic
2009,901,CZE,Czech Republic
2010,802,CZE,Czech Republic
2011,773,CZE,Czech Republic
2012,742,CZE,Czech Republic
2013,654,CZE,Czech Republic
2014,688,CZE,Czech Republic
2015,738,CZE,Czech Republic
2016,611,CZE,Czech Republic
2017,577,CZE,Czech Republic
2018,656,CZE,Czech Republic
2019,618,CZE,Czech Republic
2020,518,CZE,Czech Republic
2021,532,CZE,Czech Republic
2006,306,DNK,Denmark
2007,406,DNK,Denmark
2008,406,DNK,Denmark
2009,303,DNK,Denmark
2010,255,DNK,Denmark
2011,220,DNK,Denmark
2012,167,DNK,Denmark
2013,191,DNK,Denmark
2014,182,DNK,Denmark
2015,178,DNK,Denmark
2016,211,DNK,Denmark
2017,175,DNK,Denmark
2018,171,DNK,Denmark
2019,199,DNK,Denmark
2006,204,EST,Estonia
2007,196,EST,Estonia
2008,132,EST,Estonia
2009,100,EST,Estonia
2010,79,EST,Estonia
2011,101,EST,Estonia
2012,87,EST,Estonia
2013,81,EST,Estonia
2014,78,EST,Estonia
2015,67,EST,Estonia
2016,71,EST,Estonia
2017,48,EST,Estonia
2018,67,EST,Estonia
2019,52,EST,Estonia
2020,60,EST,Estonia
2021,55,EST,Estonia
2006,336,FIN,Finland
2007,380,FIN,Finland
2008,344,FIN,Finland
2009,279,FIN,Finland
2010,272,FIN,Finland
2011,292,FIN,Finland
2012,255,FIN,Finland
2013,258,FIN,Finland
2014,229,FIN,Finland
2015,270,FIN,Finland
2016,258,FIN,Finland
2017,238,FIN,Finland
2018,239,FIN,Finland
2019,211,FIN,Finland
2020,223,FIN,Finland
2021,225,FIN,Finland
2006,4709,FRA,France
2007,4620,FRA,France
2008,4275,FRA,France
2009,4273,FRA,France
2010,3992,FRA,France
2011,3963,FRA,France
2012,3653,FRA,France
2013,3268,FRA,France
2014,3384,FRA,France
2015,3461,FRA,France
2016,3477,FRA,France
2017,3448,FRA,France
2018,3248,FRA,France
2019,3244,FRA,France
2020,2541,FRA,France
2021,2944,FRA,France
2006,5091,DEU,Germany
2007,4949,DEU,Germany
2008,4477,DEU,Germany
2009,4152,DEU,Germany
2010,3648,DEU,Germany
2011,4009,DEU,Germany
2012,3600,DEU,Germany
2013,3339,DEU,Germany
2014,3377,DEU,Germany
2015,3459,DEU,Germany
2016,3206,DEU,Germany
2017,3180,DEU,Germany
2018,3275,DEU,Germany
2019,3046,DEU,Germany
2020,2719,DEU,Germany
2021,2562,DEU,Germany
2006,675,GEO,Goergia
2007,737,GEO,Goergia
